@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
98,'2023/12/10 22:36:44:350',3,-0.005669,0.290076,-0.040346,1.841843,-0.591216,0.171944,1.415113,-0.033805,1.075469,?
99,'2023/12/10 22:36:44:397',3,0.004342,0.243353,-0.027863,1.815042,-0.395583,0.095329,1.4691,-0.107307,1.133721,?
100,'2023/12/10 22:36:44:412',3,-0.061346,0.221844,-0.030557,1.704706,-0.44543,0.079048,1.528645,-0.37818,1.393011,?
101,'2023/12/10 22:36:44:508',3,-0.080201,0.21107,-0.131642,1.891679,-0.38987,-0.195492,1.5447,-2.599791,-2.684551,?
102,'2023/12/10 22:36:44:508',3,-0.057689,0.207592,0.128027,1.918674,-0.11997,-0.414195,1.480627,-3.124261,-2.167769,?
103,'2023/12/10 22:36:44:520',3,0.003465,0.187581,0.255072,1.644358,-0.140208,-0.35423,1.42718,3.068403,-2.079538,?
104,'2023/12/10 22:36:44:555',3,0.046816,0.190225,0.32654,1.189815,-0.190117,-0.316564,1.376559,3.022346,-2.039737,?
105,'2023/12/10 22:36:44:580',3,0.110712,0.153457,0.253146,0.857186,-0.036222,-0.149792,1.341249,3.001017,-2.022036,?
106,'2023/12/10 22:36:44:618',3,0.112138,0.144713,0.310791,0.414336,-0.128825,0.054142,1.321306,3.003782,-2.026898,?
107,'2023/12/10 22:36:44:649',3,0.046419,0.128144,0.127149,0.206774,-0.379887,0.136128,1.313223,3.017165,-2.050515,?
108,'2023/12/10 22:36:44:686',3,0.007116,0.084016,0.15224,0.166456,-0.073028,-0.155613,1.306248,3.010462,-2.052129,?
109,'2023/12/10 22:36:44:731',3,0.115966,0.05331,0.165044,-0.001926,-0.100349,-0.060212,1.302346,2.993254,-2.035631,?
110,'2023/12/10 22:36:44:744',3,0.099197,0.046219,0.169544,-0.238037,-0.264611,0.099969,1.306362,2.989801,-2.037694,?
111,'2023/12/10 22:36:44:781',3,0.025358,0.020834,0.054917,-0.30312,-0.015995,-0.00901,1.316984,2.985567,-2.039325,?
112,'2023/12/10 22:36:44:808',3,0.05216,0.018373,0.040838,-0.332232,0.125978,-0.075103,1.327767,2.97201,-2.021821,?
